Artist,Title,Label,Peak,Weeks
Century,Lover Why,Ariola,57,1
Chaka Khan,I Feel For You,Warner Bros.,52,1
Chaka Khan,This Is My Night,Warner Bros.,70,1
Champaign,How 'Bout Us,CBS,60,1
Charlie Dore,Pilot Of The Airwaves,Island,57,1
Cheap Trick,I Want You To Want Me (Live),Epic,18,19
Cheap Trick,The Flame,Epic,47,1
Cher,If I Could Turn Back Time,Geffen,79,1
Cher,Just Like Jesse James,Geffen,57,1
Chic,My Forbidden Lover,Atlantic,47,2
Chicago,Hard To Say I'm Sorry,Full Moon,25,1
Chicago,Love Me Tomorrow,Full Moon,63,1
Chicago,Stay The Night,Warner Bros.,43,1
Chico Chico,Bamboleo,Jupiter-DGG,43,1
Chilly,Come Let's Go,Polydor,54,1
Chilly,Come To L.A.,Polydor,51,1
Chilly,Johnny Loves Jenny,Polydor,39,1
Chilly,Secret Lies,Polydor,70,1
Chilly,Simply A Love Song,Polydor,70,1
Chilly,We Are The Popkings,Polydor,74,1
China Crisis,Wishful Thinking,Virgin,39,1
Chris De Burgh,Don't Pay The Ferryman,A&M,67,1
Chris De Burgh,Fire On The Water,A&M-DG,54,1
Chris De Burgh,High On Emotion,A&M,50,1
Chris De Burgh,I Love The Night,A&M,61,1
Chris De Burgh,Missing You,A&M-DGG,38,1
Chris De Burgh,One Word (Straight To The Heart),A&M-DG,73,1
Chris De Burgh,Sailing Away,A&M-Polydor,56,1
Chris De Burgh,Ship To Shore,A&M,69,1
Chris De Burgh,The Getaway,A&M,52,1
Chris De Burgh,The Lady In Red,A&M-DG,13,1
Chris De Burgh,The Simple Truth (A Child Is Born),A&M-DGG,31,1
Chris De Burgh,This Waiting Heart,A&M-Polydor,70,1
Chris De Burgh,Where Peaceful Waters Flow,A&M,68,1
Chris Norman,Broken Heroes,Hansa,16,1
Chris Norman,Midnight Lady,Hansa,2,1
Chris Norman,No Arms Can Ever Hold You,Hansa,54,1
Chris Norman,Sarah (You Take My Breath Away),Hansa,56,1
Chris Norman,Some Hearts Are Diamonds,Hansa,53,1
Chris Rea,Josephine,Magnet,40,1
Chris Rea,Let's Dance,Magnet-DGG,54,1
Chris Rea,Loving You Again,Magnet-DGG,45,1
Chris Rea,Que sera,Magnet-DGG,71,1
Chris Rea,The Road To Hell (Part 2),WEA,95,1
Chris Rea,Touché d'amour,Magnet,70,1
Chris Roberts,Wo warst du,Jupiter,75,1
Chris Thompson,The Challenge (Face It),Ariola,33,1
Chris Wolff,Am Strand von Maspalomas,Koch,55,1
Chris Wolff,Ay Ay Ay (Grüße aus Mexico),Koch,68,1
Chris Wolff,Lady Sunshine,Koch,73,1
Chris Wolff,Palma de Mallorca,Koch,62,1
Chris Wolff,Romantica,Koch,73,1
Chriss,Sweets For My Sweet,Transparent,64,1
Christian Franke,Ich wünsch' dir die Hölle auf Erden (wenn du heut' gehst),Ariola,73,1
Christian Franke,Was wäre wenn ...,Ariola,66,1
Christian Franke,"Wenn du gehst, stürzt nicht der Himmel ein",Ariola,42,1
Christopher Cross,All Right,Warner Bros.,36,1
Cissy & Whitney Houston,I Know Him So Well,Arista,46,1
Claudia Jung,Stumme Signale,Intercord,83,1
Claudia Mori,Non succederà più,CGD,23,1
Cliff Richard,Carrie,EMI,42,1
Cliff Richard,Daddy's Home,EMI,73,1
Cliff Richard,Dreamin',EMI,17,1
Cliff Richard,I Just Don't Have The Heart,EMI,53,1
Cliff Richard,In The Night,EMI,60,1
Cliff Richard,"It Has To Be You, It Has To Be Me",EMI,36,1
Cliff Richard,Lean On You,EMI,98,1
Cliff Richard,Mistletoe & Wine,EMI,70,1
Cliff Richard,My Pretty One,EMI,72,1
Cliff Richard,Never Say Die (Give A Little Bit More),EMI,66,1
Cliff Richard,Remember Me,EMI,35,1
Cliff Richard,She's So Beautiful,EMI,68,1
Cliff Richard,Some People,EMI,32,1
Cliff Richard,The Best Of Me,EMI,61,1
Cliff Richard,The Only Way Out,EMI,67,1
Cliff Richard,We Don't Talk Anymore,EMI,1,17
Cliff Richard,Wired For Sound,EMI,55,1
Cliff Richard & The Young Ones feat. Hank Marvin,Living Doll,WEA,73,1
Climie Fisher,Facts Of Love,EMI,74,1
Climie Fisher,Keeping The Mystery Alive,EMI,35,1
Climie Fisher,Love Changes (Everything),EMI,31,1
Climie Fisher,Love Like A River,EMI,61,1
Climie Fisher,Rise To The Occasion,EMI,26,1
Climie Fisher,This Is Me,EMI,60,1
